country;imppower
Canada;United Kingdom
Cuba;Spain
Cuba;USA
Haiti;USA
Dominican Rep.;Spain
Dominican Rep.;Haiti
Dominican Rep.;USA
Mexico;Spain
Belize;United Kingdom
Guatemala;Spain
Honduras;Spain
El Salvador;Spain
Nicaragua;Spain
Costa Rica;Spain
Panama;Spain
Panama;Colombia
Colombia;Spain
Venezuela;Spain
Venezuela;Colombia
Guyana;United Kingdom
Suriname;Netherlands
Ecuador;Spain
Peru;Spain
Peru;Bolivia
Brazil;Portugal
Bolivia;Spain
Chile;Spain
Uruguay;Spain
Uruguay;Brazil
Ireland;United Kingdom
Netherlands;Germany
Belgium;Netherlands
Belgium;Germany
Poland;MIXED RULE
Poland;Germany
Austria;Germany
Hungary;Austria-Hungary
Hungary;Russia
Czech Rep.;Austria-Hungary
Czech Rep.;Czechoslovakia
Slovak Rep.;Austria-Hungary
Slovak Rep.;MIXED RULE
Slovak Rep.;Czechoslovakia
Italy;Austria-Hungary
Albania;Turkey
Macedonia;Turkey
Macedonia;Yugoslavia
Croatia;Austria-Hungary
Croatia;MIXED RULE
Croatia;Yugoslavia
Yugoslavia;Turkey
Bosnia and Herzegovina;Turkey
Bosnia and Herzegovina;Austria-Hungary
Bosnia and Herzegovina;Yugoslavia
Slovenia;Austria-Hungary
Slovenia;Yugoslavia
Greece;Turkey
Cyprus;Turkey
Cyprus;United Kingdom
Bulgaria;Turkey
Moldova;MIXED RULE
Moldova;Russia
Romania;Austria-Hungary
Estonia;Russia
Latvia;Russia
Lithuania;Russia
Ukraine;MIXED RULE
Ukraine;Russia
Belarus;Russia
Armenia;MIXED RULE
Armenia;Russia
Georgia;Russia
Azerbaijan;Russia
Finland;Russia
Norway;Sweden
Iceland;Denmark
Guinea-Bissau;Portugal
Equatorial Guinea;United Kingdom
Equatorial Guinea;Spain
Gambia, The;United Kingdom
Mali;France
Senegal;France
Benin;France
Mauritania;France
Niger;France
Cote d'Ivoire;France
Guinea;France
Burkina Faso;France
Sierra Leone;United Kingdom
Ghana;Portugal
Ghana;United Kingdom
Togo;Germany
Togo;MIXED RULE
Cameroon;Germany
Cameroon;MIXED RULE
Nigeria;United Kingdom
Gabon;France
Central Afr. Rep.;France
Chad;Sudan
Chad;France
Congo, Rep. Of;France
Congo, Dem. R.;Belgium
Uganda;United Kingdom
Kenya;United Kingdom
Tanzania;Germany
Tanzania;United Kingdom
Burundi;Germany
Burundi;Belgium
Rwanda;Germany
Rwanda;Belgium
Somalia;Turkey
Somalia;United Kingdom
Somalia;MIXED RULE
Djibouti;France
Eritrea;Turkey
Eritrea;Egypt
Eritrea;Italy
Eritrea;United Kingdom
Eritrea;Ethiopia
Angola;Portugal
Mozambique;Portugal
Zambia;United Kingdom
Zimbabwe;United Kingdom
Malawi;United Kingdom
South Africa;United Kingdom
Namibia;Germany
Namibia;South Africa
Lesotho;United Kingdom
Botswana;United Kingdom
Swaziland;United Kingdom
Madagascar;France
Morocco;France
Algeria;France
Tunisia;Turkey
Tunisia;MIXED RULE
Tunisia;France
Sudan;Egypt
Sudan;MIXED RULE
Iraq;Turkey
Iraq;United Kingdom
Egypt;United Kingdom
Syria;Turkey
Syria;Egypt
Syria;France
Lebanon;Turkey
Lebanon;France
Jordan;Turkey
Israel;Turkey
Israel;United Kingdom
Yemen, Rep.;Egypt
Yemen, Rep.;MIXED RULE
Yemen, Rep.;United Kingdom
Yemen, Rep.;Turkey
Qatar;Turkey
Qatar;United Kingdom
Turkmenistan;Russia
Tajikistan;Russia
Kyrgyz Republic;Russia
Uzbekistan;Russia
Kazakhstan;Russia
Mongolia;China
Taiwan;China
North Korea;Korea
North Korea;Japan
Korea, South;Korea
Korea, South;Japan
India;United Kingdom
Pakistan;United Kingdom
Bangladesh;United Kingdom
Bangladesh;Pakistan
Myanmar;United Kingdom
Sri Lanka;United Kingdom
Cambodia;France
Laos;Thailand
Laos;France
Vietnam;France
Malaysia;United Kingdom
Philippines;Spain
Philippines;USA
Indonesia;Netherlands
Australia;United Kingdom
Pap. New Guinea;United Kingdom
Pap. New Guinea;Australia
New Zealand;United Kingdom
